timestamp,pathway,latency_ms,tokens
2025-11-30T16:19:41.688158,RAG,1473,
2025-11-30T16:20:11.117955,RAG,2254,
2025-11-30T16:20:53.102699,RAG,2708,
2025-11-30T16:21:10.905940,RAG,1298,
2025-11-30T16:21:22.962553,RAG,1996,
2025-11-30T16:21:36.914438,RAG,1443,
2025-11-30T16:21:50.710840,RAG,3466,
2025-11-30T16:22:02.616525,RAG,2133,
2025-11-30T16:25:13.891684,RAG,5314,
2025-11-30T16:25:25.150065,RAG,2420,
2025-11-30T16:25:36.429806,RAG,1377,
2025-11-30T16:25:52.880090,RAG,1691,
2025-11-30T16:26:11.451172,RAG,1212,
2025-11-30T16:26:21.734883,RAG,2108,
2025-11-30T16:26:32.548893,RAG,1360,
2025-11-30T16:26:43.400659,RAG,1354,
2025-12-02T19:34:55.055029,RAG,1132,
2025-12-02T19:35:10.878133,RAG,1219,
2025-12-02T19:35:29.643888,RAG,1738,
2025-12-02T19:35:58.828653,RAG,1722,
2025-12-02T19:36:38.873571,RAG,2433,
2025-12-02T19:37:12.780463,RAG,1185,
2025-12-02T21:18:05.977367,RAG,1165,
2025-12-02T21:18:17.945741,RAG,1294,
2025-12-02T21:18:33.241484,RAG,1161,
2025-12-02T21:19:57.416643,RAG,1395,
2025-12-02T21:20:03.866873,RAG,1696,
2025-12-02T21:20:25.950046,RAG,1081,
2025-12-02T21:20:42.676581,RAG,4746,
2025-12-02T21:23:24.475274,RAG,2188,
2025-12-02T21:23:29.996823,RAG,1630,
2025-12-02T21:23:35.019781,RAG,3181,
2025-12-02T21:25:00.733650,RAG,1502,
2025-12-02T21:25:03.904322,RAG,1519,
2025-12-02T21:25:07.488462,RAG,2773,
2025-12-02T21:25:21.109205,RAG,1293,
2025-12-02T21:25:24.896391,RAG,1382,
2025-12-02T21:25:26.945145,RAG,1315,
2025-12-02T21:25:41.592723,RAG,1287,
2025-12-02T21:25:46.037733,RAG,2734,
2025-12-02T21:25:47.594307,RAG,924,
2025-12-02T21:26:07.500279,RAG,2034,
2025-12-02T21:26:12.207994,RAG,3152,
2025-12-02T21:26:14.255202,RAG,1390,
2025-12-02T21:26:27.778451,RAG,2536,
2025-12-02T21:26:30.127226,RAG,1497,
2025-12-02T21:26:32.585421,RAG,1759,
2025-12-02T21:26:43.662400,RAG,1294,
2025-12-02T21:26:47.737397,RAG,1678,
2025-12-02T21:27:23.162288,RAG,2038,
2025-12-02T21:27:45.995433,RAG,4148,
2025-12-02T21:27:48.144812,RAG,1029,
2025-12-02T21:28:06.838785,RAG,1226,
2025-12-02T21:28:10.365694,RAG,1977,
2025-12-02T21:28:30.233716,RAG,1529,
2025-12-02T21:28:43.554880,RAG,3076,
2025-12-02T21:29:11.574616,RAG,1066,
2025-12-02T21:29:15.289622,RAG,1630,
2025-12-02T21:29:17.336650,RAG,1468,
2025-12-02T21:29:45.502395,RAG,1403,
2025-12-02T21:43:37.318928,RAG,2508,
